Type,Name,Start,End,Purpose/Notes
Vedic,Rudra,2025-06-20 07:32 AM,2025-06-20 08:20 AM,
Vedic,Āhi,2025-06-20 08:20 AM,2025-06-20 09:08 AM,
Vedic,Mitra,2025-06-20 09:08 AM,2025-06-20 09:56 AM,
Vedic,Pitṛ,2025-06-20 09:56 AM,2025-06-20 10:44 AM,
Vedic,Vasu,2025-06-20 10:44 AM,2025-06-20 11:32 AM,
Vedic,Varāha,2025-06-20 11:32 AM,2025-06-20 12:20 PM,
Vedic,Viśvedevā,2025-06-20 12:20 PM,2025-06-20 01:08 PM,
Vedic,Vidhi,2025-06-20 01:08 PM,2025-06-20 01:56 PM,
Vedic,Sutamukhī,2025-06-20 01:56 PM,2025-06-20 02:44 PM,
Vedic,Puruhūta,2025-06-20 02:44 PM,2025-06-20 03:32 PM,
Vedic,Vāhinī,2025-06-20 03:32 PM,2025-06-20 04:20 PM,
Vedic,Naktanakarā,2025-06-20 04:20 PM,2025-06-20 05:08 PM,
Vedic,Varuṇa,2025-06-20 05:08 PM,2025-06-20 05:56 PM,
Vedic,Aryaman,2025-06-20 05:56 PM,2025-06-20 06:44 PM,
Vedic,Bhaga,2025-06-20 06:44 PM,2025-06-20 07:32 PM,
Vedic,Girīśa,2025-06-20 07:32 PM,2025-06-20 08:20 PM,
Vedic,Ajapāda,2025-06-20 08:20 PM,2025-06-20 09:08 PM,
Vedic,Ahirbudhnya,2025-06-20 09:08 PM,2025-06-20 09:56 PM,
Vedic,Puṣya,2025-06-20 09:56 PM,2025-06-20 10:44 PM,
Vedic,Aśvinī,2025-06-20 10:44 PM,2025-06-20 11:32 PM,
Vedic,Yama,2025-06-20 11:32 PM,2025-06-21 12:20 AM,
Vedic,Agni,2025-06-21 12:20 AM,2025-06-21 01:08 AM,
Vedic,Vidhātṛ,2025-06-21 01:08 AM,2025-06-21 01:56 AM,
Vedic,Kaṇḍa,2025-06-21 01:56 AM,2025-06-21 02:44 AM,
Vedic,Aditi,2025-06-21 02:44 AM,2025-06-21 03:32 AM,
Vedic,Jaya,2025-06-21 03:32 AM,2025-06-21 04:20 AM,
Vedic,Indra,2025-06-21 04:20 AM,2025-06-21 05:08 AM,
Vedic,Sūrya,2025-06-21 05:08 AM,2025-06-21 05:56 AM,
Vedic,Bhaga (2),2025-06-21 05:56 AM,2025-06-21 06:44 AM,
Vedic,Brahma,2025-06-21 06:44 AM,2025-06-21 07:32 AM,
Spiritual,Arunodaya,2025-06-20 05:32 AM,2025-06-20 05:56 AM,Awakening subtle light
Spiritual,Brahma Muhurta,2025-06-20 05:56 AM,2025-06-20 06:44 AM,"Ideal for Japa, Meditation"
Spiritual,Parata Sandhya,2025-06-20 07:02 AM,2025-06-20 07:22 AM,Pre-dawn reflection
Spiritual,Sandhya Kala (Morning),2025-06-20 07:12 AM,2025-06-20 07:42 AM,Gayatri Invocation
Spiritual,Madhyahna Sandhya,2025-06-20 12:12 PM,2025-06-20 12:32 PM,Midday Offering
Spiritual,Abhijit Muhurta,2025-06-20 11:58 AM,2025-06-20 12:46 PM,Victory & Initiation
Spiritual,Sayam Sandhya,2025-06-20 04:52 PM,2025-06-20 05:22 PM,Evening Vedic Prayer
Spiritual,Pradosha Kala,2025-06-20 03:42 PM,2025-06-20 05:12 PM,Shiva Worship
Spiritual,Nishita Kala,2025-06-20 11:12 PM,2025-06-21 12:00 AM,Deep mantra practice
Inauspicious,Rahu Kalam,2025-06-20 03:02 PM,2025-06-20 04:32 PM,Avoid major undertakings
Inauspicious,Yama Ghantaka,2025-06-20 07:32 AM,2025-06-20 09:02 AM,"Accident-prone, avoid risky activities"
Inauspicious,Gulika Kalam,2025-06-20 10:32 AM,2025-06-20 12:02 PM,Causes looping karma
